,Year,NY.GNP.MKTP.KD.ZG,SE.SEC.ENRR.FE,SP.DYN.IMRT.IN,Country Code,Country Name,Region,Income Group,Lending Type
0,2010,5.9900866021,31.9384002686,76.7,MLI,Mali,Sub-Saharan Africa ,Low income,IDA
1,2011,3.4794434651,33.8504219055,74.6,MLI,Mali,Sub-Saharan Africa ,Low income,IDA
2,2013,2.9872148756,36.6665611267,70.6,MLI,Mali,Sub-Saharan Africa ,Low income,IDA
3,2014,7.7784459132,37.4082984924,68.7,MLI,Mali,Sub-Saharan Africa ,Low income,IDA
4,2015,6.6341196416,36.840549469,67.0,MLI,Mali,Sub-Saharan Africa ,Low income,IDA
5,2016,5.3053544881,36.6106109619,65.2,MLI,Mali,Sub-Saharan Africa ,Low income,IDA
6,2017,4.792865312,37.0713615417,63.5,MLI,Mali,Sub-Saharan Africa ,Low income,IDA
7,2018,5.1404537663,36.9953689575,61.8,MLI,Mali,Sub-Saharan Africa ,Low income,IDA
8,2010,1.2436836666,111.6708221436,2.6,NOR,Norway,Europe & Central Asia,High income,Not classified
9,2011,0.885811255,111.5061721802,2.5,NOR,Norway,Europe & Central Asia,High income,Not classified
10,2012,2.5829388604,109.7444076538,2.4,NOR,Norway,Europe & Central Asia,High income,Not classified
11,2013,1.2939007036999999,111.3911590576,2.3,NOR,Norway,Europe & Central Asia,High income,Not classified
12,2014,4.1632826396,110.8155593872,2.3,NOR,Norway,Europe & Central Asia,High income,Not classified
13,2015,2.791120371,113.1611022949,2.2,NOR,Norway,Europe & Central Asia,High income,Not classified
14,2016,1.0314639982,114.6563415527,2.1,NOR,Norway,Europe & Central Asia,High income,Not classified
15,2017,2.2986837006,114.2239837646,2.1,NOR,Norway,Europe & Central Asia,High income,Not classified
16,2018,1.3482648309,114.707901001,2.0,NOR,Norway,Europe & Central Asia,High income,Not classified
17,2010,2.3852767334,28.8116493225,70.1,PAK,Pakistan,South Asia,Lower middle income,Blend
18,2011,3.193244865,28.8733501434,68.6,PAK,Pakistan,South Asia,Lower middle income,Blend
19,2012,3.4944326231,29.4289207458,67.1,PAK,Pakistan,South Asia,Lower middle income,Blend
20,2013,4.2554154382,30.2607898712,65.4,PAK,Pakistan,South Asia,Lower middle income,Blend
21,2014,4.6353302184,32.836971283,63.8,PAK,Pakistan,South Asia,Lower middle income,Blend
22,2015,4.6421512529,34.8973197937,62.1,PAK,Pakistan,South Asia,Lower middle income,Blend
23,2016,5.2699645109,36.5567016602,60.5,PAK,Pakistan,South Asia,Lower middle income,Blend
24,2017,5.8344590905,36.0808906555,58.8,PAK,Pakistan,South Asia,Lower middle income,Blend
25,2018,5.7554121377000005,39.1479911804,57.2,PAK,Pakistan,South Asia,Lower middle income,Blend
26,2010,2.8855967639,95.4068984985,6.2,USA,United States,North America,High income,Not classified
27,2011,1.7594844099,96.2157897949,6.1,USA,United States,North America,High income,Not classified
28,2012,2.1654443581,96.503578186,6.0,USA,United States,North America,High income,Not classified
29,2013,1.7871194518,96.3090591431,6.0,USA,United States,North America,High income,Not classified
30,2014,2.5293775104,97.5130462646,5.9,USA,United States,North America,High income,Not classified
31,2015,2.7732784964,98.173576355,5.8,USA,United States,North America,High income,Not classified
32,2016,1.5741633213,98.4747085571,5.8,USA,United States,North America,High income,Not classified
33,2017,2.4522427243,98.6955566406,5.7,USA,United States,North America,High income,Not classified
34,2018,2.9848850805,98.7960586548,5.6,USA,United States,North America,High income,Not classified
